Sno,Weight
148,0.04285393
149,0.049091928
150,0.038206574
151,0.017927485
152,-0.0017959637
153,-0.0037850973
154,0.0060731443
155,0.0019714672
156,-0.07940767
157,-0.08885839
158,0.08952693
159,0.056620724
160,0.03785381
161,0.016685218
162,0.03212739
163,0.057830762
164,-0.09919547
165,0.27485108
166,-0.09906645
167,-0.14452372
168,0.024318168
169,0.043976713
170,0.03295188
171,0.03178203
172,0.04009104
173,0.048127912
174,0.03965966
175,0.062204994
176,0.039987102
177,0.06170613
178,0.064095736
179,0.05772278
180,0.019154225
181,0.0618598
182,0.046243347
183,0.07166955
184,0.032370627
185,0.027655665
186,-0.085092545
187,-0.21876942
188,0.032176625
189,0.02989476
190,0.05851013
191,0.013207615
192,0.05294466
193,0.032620598
194,0.02575266
195,0.053613134
196,0.03460709
197,0.028510535
198,0.034852277
199,0.03325608
200,0.039301436
201,0.18612707
202,-0.039685935
203,0.05195614
204,-0.0022556193
205,0.10076855
206,0.042007994
207,-0.106050566
208,0.037754223
209,0.048065662
210,0.051345114
211,0.025827307
212,0.03282028
213,-0.102356315
214,0.022478526
215,-0.09397388
216,-0.09406741
217,-0.0015408123
218,-0.12179254
219,0.17208803
220,0.019456927
221,0.010181669
222,0.045094732
223,0.03558432
224,0.03443171
225,0.03251392
226,0.04052045
227,0.034710143
228,-0.010369702
229,0.03094272
230,0.017501587
231,0.045261614
232,-0.0045528314
233,0.03666287
234,0.04694815
235,0.044938155
236,-0.024223257
237,0.1488867
238,-0.021276362
239,-0.03209698
240,0.025139207
241,0.03966229
242,0.035292167
243,0.06541273
244,0.036027968
245,0.16344602
246,-0.13854863
247,-0.02338198
248,0.043722026
249,0.046229474
250,0.059901066
251,0.032057337
252,0.05418749
253,0.011627085
254,0.07876895
255,0.025251826
256,0.0017525762
257,-0.10097222
258,0.12367925
259,-0.030563692
260,-0.059510913
261,-0.08420241
262,0.0047891038
263,0.14129597
264,-0.0006969315
265,-0.02373759
266,0.1858969
267,-0.08400448
268,-0.0012494905
269,-0.0067018075
270,0.009933574
271,0.0033584984
272,0.038603783
273,0.027382508
274,0.058766607
275,0.037156444
276,0.03030381
277,0.04059986
278,0.0382576
279,0.04673483
280,0.0059778956
281,0.024140805
282,0.047077496
283,0.030515976
284,0.0071613477
285,0.032608382
286,0.022863818
287,0.03706543
288,0.082613155
289,-0.18983923
290,-0.01293631
291,0.06734761
292,-0.060023755
293,0.19385411
294,-0.09088169
295,-0.02370033
296,0.003963558
297,0.012282684
298,0.018962886
299,0.06385886
300,0.06094366
301,0.02980479
302,-0.046859603
303,-0.26239505
304,0.051285423
305,0.2353582
